tahun,kab/kota,kecamatan,jenis_kelamin,jumlah
2014,Kepulauan Seribu,Kepulauan Seribu Selatan,laki-laki,4696
2014,Kepulauan Seribu,Kepulauan Seribu Selatan,perempuan,4664
2014,Kepulauan Seribu,Kepulauan Seribu Utara,laki-laki,6933
2014,Kepulauan Seribu,Kepulauan Seribu Utara,perempuan,6718
2014,Jakarta Selatan,Jagakarsa,laki-laki,179995
2014,Jakarta Selatan,Jagakarsa,perempuan,176276
2014,Jakarta Selatan,Pasar Minggu,laki-laki,151707
2014,Jakarta Selatan,Pasar Minggu,perempuan,148939
2014,Jakarta Selatan,Cilandak,laki-laki,97364
2014,Jakarta Selatan,Cilandak,perempuan,100160
2014,Jakarta Selatan,Pesanggrahan,laki-laki,110264
2014,Jakarta Selatan,Pesanggrahan,perempuan,108602
2014,Jakarta Selatan,Kebayoran Lama,laki-laki,151705
2014,Jakarta Selatan,Kebayoran Lama,perempuan,151823
2014,Jakarta Selatan,Kebayoran Baru,laki-laki,71073
2014,Jakarta Selatan,Kebayoran Baru,perempuan,72025
2014,Jakarta Selatan,Mampang Prapatan,laki-laki,74303
2014,Jakarta Selatan,Mampang Prapatan,perempuan,70547
2014,Jakarta Selatan,Pancoran,laki-laki,76627
2014,Jakarta Selatan,Pancoran,perempuan,75390
2014,Jakarta Selatan,Tebet ,laki-laki,104565
2014,Jakarta Selatan,Tebet ,perempuan,105791
2014,Jakarta Selatan,Setiabudi,laki-laki,69024
2014,Jakarta Selatan,Setiabudi,perempuan,67528
2014,Jakarta Timur,Pasar Rebo,laki-laki,103339
2014,Jakarta Timur,Pasar Rebo,perempuan,101339
2014,Jakarta Timur,Ciracas,laki-laki,135014
2014,Jakarta Timur,Ciracas,perempuan,132297
2014,Jakarta Timur,Cipayung,laki-laki,131648
2014,Jakarta Timur,Cipayung,perempuan,128930
2014,Jakarta Timur,Makasar,laki-laki,98158
2014,Jakarta Timur,Makasar,perempuan,97520
2014,Jakarta Timur,Kramat Jati,laki-laki,143577
2014,Jakarta Timur,Kramat Jati,perempuan,142535
2014,Jakarta Timur,Jatinegara,laki-laki,140068
2014,Jakarta Timur,Jatinegara,perempuan,131148
2014,Jakarta Timur,Duren Sawit,laki-laki,196316
2014,Jakarta Timur,Duren Sawit,perempuan,198341
2014,Jakarta Timur,Cakung,laki-laki,269764
2014,Jakarta Timur,Cakung,perempuan,253395
2014,Jakarta Timur,Pulogadung,laki-laki,131436
2014,Jakarta Timur,Pulogadung,perempuan,133014
2014,Jakarta Timur,Matraman,laki-laki,75245
2014,Jakarta Timur,Matraman,perempuan,74910
2014,Jakarta Pusat,Tanah Abang,laki-laki,73596
2014,Jakarta Pusat,Tanah Abang,perempuan,71749
2014,Jakarta Pusat,Menteng,laki-laki,33405
2014,Jakarta Pusat,Menteng,perempuan,34674
2014,Jakarta Pusat,Senen,laki-laki,47410
2014,Jakarta Pusat,Senen,perempuan,48092
2014,Jakarta Pusat,Johar Baru,laki-laki,59082
2014,Jakarta Pusat,Johar Baru,perempuan,58358
2014,Jakarta Pusat,Cempaka Putih,laki-laki,43305
2014,Jakarta Pusat,Cempaka Putih,perempuan,41559
2014,Jakarta Pusat,Kemayoran,laki-laki,110891
2014,Jakarta Pusat,Kemayoran,perempuan,109657
2014,Jakarta Pusat,Sawah Besar,laki-laki,49248
2014,Jakarta Pusat,Sawah Besar,perempuan,51213
2014,Jakarta Pusat,Gambir,laki-laki,38741
2014,Jakarta Pusat,Gambir,perempuan,39411
2014,Jakarta Barat,Kembangan,laki-laki,150295
2014,Jakarta Barat,Kembangan,perempuan,150507
2014,Jakarta Barat,Kebon Jeruk,laki-laki,179312
2014,Jakarta Barat,Kebon Jeruk,perempuan,178476
2014,Jakarta Barat,Palmerah,laki-laki,103582
2014,Jakarta Barat,Palmerah,perempuan,98791
2014,Jakarta Barat,Grogol Petamburan,laki-laki,113795
2014,Jakarta Barat,Grogol Petamburan,perempuan,118902
2014,Jakarta Barat,Tambora,laki-laki,124730
2014,Jakarta Barat,Tambora,perempuan,114744
2014,Jakarta Barat,Taman Sari,laki-laki,54901
2014,Jakarta Barat,Taman Sari,perempuan,55107
2014,Jakarta Barat,Cengkareng,laki-laki,284930
2014,Jakarta Barat,Cengkareng,perempuan,271042
2014,Jakarta Barat,Kalideres,laki-laki,219581
2014,Jakarta Barat,Kalideres,perempuan,211715
2014,Jakarta Utara,Penjaringan,laki-laki,162437
2014,Jakarta Utara,Penjaringan,perempuan,165616
2014,Jakarta Utara,Pademangan,laki-laki,80746
2014,Jakarta Utara,Pademangan,perempuan,77547
2014,Jakarta Utara,Tanjung Priok,laki-laki,193685
2014,Jakarta Utara,Tanjung Priok,perempuan,192579
2014,Jakarta Utara,Koja,laki-laki,152799
2014,Jakarta Utara,Koja,perempuan,149904
2014,Jakarta Utara,Kelapa Gading,laki-laki,73935
2014,Jakarta Utara,Kelapa Gading,perempuan,82729
2014,Jakarta Utara,Cilincing,laki-laki,196346
2014,Jakarta Utara,Cilincing,perempuan,201121
