Borough,Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Bakso Ciat Solo,-6.184014174878079,106.86670005357307,Indonesian Meatball Place
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Imperial Kitchen,-6.1742608,106.8938695,Chinese Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Pizza Hut,-6.176757758734509,106.87463230975042,Pizza Place
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Domino's Pizza,-6.196171062934649,106.8915009498596,Pizza Place
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Asinan Ny. Isye,-6.201596327871425,106.88444711631269,Vegetarian / Vegan Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Lapau Nasi Jaya,-6.191119533135719,106.83634098997733,Padangnese Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Mie Ayam Gondangdia,-6.190596,106.835855,Noodle House
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,RUMAH MANTAN CAFÉ & NOSTALGIA,-6.198120255934544,106.88723495466135,Halal Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Pagi Sore,-6.17637599926081,106.87147401970012,Padangnese Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Waroeng Steak & Shake,-6.1744052615981255,106.86038563163771,Steakhouse
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Restaurant Garuda,-6.190303,106.83765,Padangnese Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Restoran Cahaya timur,-6.199000379789897,106.89008049978023,Chinese Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Rumah Makan Mas Miskun,-6.192367494610831,106.85501538993752,Indonesian Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Soto Betawi H. Ma'ruf,-6.193076,106.864441,Betawinese Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Burger King Salemba,-6.1939596391409,106.84965129421586,Burger Joint
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Tahu Campur Lamongan,-6.195716738601314,106.89107320711807,Javanese Restaurant
KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,-6.181268890081,106.86707362626,Bakwan Bakso Malang Sutomo,-6.202069,106.87913,Indonesian Meatball Place
